,user,trial,node,response
0,4eOUnIAsnLOV2JdB,0,internal_node_id,0.0-0.0
1,4eOUnIAsnLOV2JdB,0,success,True
2,4eOUnIAsnLOV2JdB,0,time_elapsed,51
3,4eOUnIAsnLOV2JdB,0,timeout,False
4,4eOUnIAsnLOV2JdB,0,trial_index,0
5,4eOUnIAsnLOV2JdB,0,trial_type,preload
6,4eOUnIAsnLOV2JdB,1,internal_node_id,0.0-1.0
7,4eOUnIAsnLOV2JdB,1,response,m
8,4eOUnIAsnLOV2JdB,1,rt,3724.800000011921
9,4eOUnIAsnLOV2JdB,1,stimulus,"<h1>Welcome to the world of Lexicality!</h1>
      <p>You are searching for the gate that will return you to your home on Earth.</p>
      <p>To reach it, you must cross <strong>five</strong> valleys guarded by magical creatures.</p>
      <p>To convince them to let you pass through, you must be able to tell the difference
      between the magic words of Lexicality and English.</p>
      <p>Press any key to see how!</p>
      "
10,4eOUnIAsnLOV2JdB,1,time_elapsed,3800
11,4eOUnIAsnLOV2JdB,1,trial_index,1
12,4eOUnIAsnLOV2JdB,1,trial_type,html-keyboard-response
13,4eOUnIAsnLOV2JdB,2,internal_node_id,0.0-2.0
14,4eOUnIAsnLOV2JdB,2,response,l
15,4eOUnIAsnLOV2JdB,2,rt,14852.5
16,4eOUnIAsnLOV2JdB,2,stimulus,"
        <p>The magic words sound like fake, made-up words.
        They might look like English words, but they don't
        mean anything in English. For example, <i> laip, bove,</i> and <i>
        cigbert</i> are magic words.
        If you see a magic word, press the <strong>LEFT ARROW KEY</strong></p>
        <p>The other words will be onese you recognize.
        They are real English words like <i>is, basket,</i> and <i>lion.</i>
        If you see a real word, hit the <strong>RIGHT ARROW KEY</strong></p>
        </div>
        <p>Press any key to begin practice!</p>
      "
17,4eOUnIAsnLOV2JdB,2,time_elapsed,18660
18,4eOUnIAsnLOV2JdB,2,trial_index,2
19,4eOUnIAsnLOV2JdB,2,trial_type,html-keyboard-response
20,4eOUnIAsnLOV2JdB,3,internal_node_id,0.0-3.0-0.0
21,4eOUnIAsnLOV2JdB,3,stimulus,"<div style=""font-size:60px;"">+</div>"
22,4eOUnIAsnLOV2JdB,3,task,fixation
23,4eOUnIAsnLOV2JdB,3,time_elapsed,21674
24,4eOUnIAsnLOV2JdB,3,trial_index,3
25,4eOUnIAsnLOV2JdB,3,trial_type,html-keyboard-response
26,4eOUnIAsnLOV2JdB,4,correct,True
27,4eOUnIAsnLOV2JdB,4,correct_response,ArrowRight
28,4eOUnIAsnLOV2JdB,4,internal_node_id,0.0-3.0-1.0
29,4eOUnIAsnLOV2JdB,4,response,arrowright
30,4eOUnIAsnLOV2JdB,4,rt,962.4000000357628
31,4eOUnIAsnLOV2JdB,4,stimulus,"<div style=""font-size:60px;"">deliberate</div>"
32,4eOUnIAsnLOV2JdB,4,task,response
